instance_id,scale,CF_level,method,display_method,seed_count,seed_rpd_sd_percent_points,seed_rpd_iqr_percent_points
CB1_CORE_L_CF2_R05,L,CF2,Adapted DCGA,Adapted DCGA,5,0.7156944631854892,1.057714417107384
CB1_CORE_L_CF2_R05,L,CF2,CSG-NI Phase6H provisional,CSG-NI,5,1.992820335787659,2.506323292710968
CB1_CORE_L_CF2_R05,L,CF2,DABC-RIACRSP,DABC,5,2.1841318456080554,3.403081168084615
CB1_CORE_L_CF2_R05,L,CF2,GA,GA,5,3.601205113336155,4.6907335019544725
CB1_CORE_L_CF2_R05,L,CF2,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,4.400912013859383,7.082087836284202
CB1_CORE_L_CF3_R01,L,CF3,Adapted DCGA,Adapted DCGA,5,0.8669773891249961,1.2575888985255865
CB1_CORE_L_CF3_R01,L,CF3,CSG-NI Phase6H provisional,CSG-NI,5,2.486670020967251,2.450130095403296
CB1_CORE_L_CF3_R01,L,CF3,DABC-RIACRSP,DABC,5,1.2551191467652032,2.1682567215958386
CB1_CORE_L_CF3_R01,L,CF3,GA,GA,5,3.401883548561178,2.3417172593235023
CB1_CORE_L_CF3_R01,L,CF3,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,2.691111458031557,1.4744145706851697
CB1_CORE_L_CF3_R02,L,CF3,Adapted DCGA,Adapted DCGA,5,1.7606021310716127,1.4771460423634295
CB1_CORE_L_CF3_R02,L,CF3,CSG-NI Phase6H provisional,CSG-NI,5,1.488878753218471,2.0903010033444818
CB1_CORE_L_CF3_R02,L,CF3,DABC-RIACRSP,DABC,5,1.3067158753434909,2.3968784838350032
CB1_CORE_L_CF3_R02,L,CF3,GA,GA,5,6.979994673984754,8.082497212931996
CB1_CORE_L_CF3_R02,L,CF3,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,5.777552311503511,5.574136008918616
CB1_CORE_L_CF3_R03,L,CF3,Adapted DCGA,Adapted DCGA,5,2.005777243908526,2.7777777777777786
CB1_CORE_L_CF3_R03,L,CF3,CSG-NI Phase6H provisional,CSG-NI,5,1.9760388156951132,2.829698857736241
CB1_CORE_L_CF3_R03,L,CF3,DABC-RIACRSP,DABC,5,2.7244346782832323,3.32294911734164
CB1_CORE_L_CF3_R03,L,CF3,GA,GA,5,4.7661812183635694,6.126687435098649
CB1_CORE_L_CF3_R03,L,CF3,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,1.6759735358818026,2.3364485981308416
CB1_CORE_L_CF3_R04,L,CF3,Adapted DCGA,Adapted DCGA,5,1.6444583166035618,1.879798782102199
CB1_CORE_L_CF3_R04,L,CF3,CSG-NI Phase6H provisional,CSG-NI,5,1.7102783574846787,1.8003706645485835
CB1_CORE_L_CF3_R04,L,CF3,DABC-RIACRSP,DABC,5,3.618965623937672,5.533492189568438
CB1_CORE_L_CF3_R04,L,CF3,GA,GA,5,2.9221560189272693,5.321683876092138
CB1_CORE_L_CF3_R04,L,CF3,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,4.801347766199841,0.39714058776807093
CB1_CORE_L_CF3_R05,L,CF3,Adapted DCGA,Adapted DCGA,5,1.750422511969269,1.2013729977116725
CB1_CORE_L_CF3_R05,L,CF3,CSG-NI Phase6H provisional,CSG-NI,5,2.2866663005984416,2.8604118993135015
CB1_CORE_L_CF3_R05,L,CF3,DABC-RIACRSP,DABC,5,2.5142028054750107,1.458810068649882
CB1_CORE_L_CF3_R05,L,CF3,GA,GA,5,5.029422475148201,5.606407322654462
CB1_CORE_L_CF3_R05,L,CF3,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,7.910293141908073,6.779176201372998
CB1_CORE_M_CF1_R01,M,CF1,Adapted DCGA,Adapted DCGA,5,2.3205036898637497,0.0801282051282044
CB1_CORE_M_CF1_R01,M,CF1,CSG-NI Phase6H provisional,CSG-NI,5,2.2025055914066405,1.8028846153846154
CB1_CORE_M_CF1_R01,M,CF1,DABC-RIACRSP,DABC,5,4.669350409976804,2.4839743589743595
CB1_CORE_M_CF1_R01,M,CF1,GA,GA,5,6.818611299150199,7.8125
CB1_CORE_M_CF1_R01,M,CF1,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,4.346225789577379,4.326923076923077
CB1_CORE_M_CF1_R02,M,CF1,Adapted DCGA,Adapted DCGA,5,1.5137825958587152,1.3613861386138595
CB1_CORE_M_CF1_R02,M,CF1,CSG-NI Phase6H provisional,CSG-NI,5,3.1149818587662903,5.6621287128712865
CB1_CORE_M_CF1_R02,M,CF1,DABC-RIACRSP,DABC,5,5.526010887723805,6.992574257425744
CB1_CORE_M_CF1_R02,M,CF1,GA,GA,5,3.24635990847856,4.455445544554455
CB1_CORE_M_CF1_R02,M,CF1,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,3.972740950957582,4.2388613861386135
CB1_CORE_M_CF1_R03,M,CF1,Adapted DCGA,Adapted DCGA,5,0.5264247298661345,0.9686793671294787
CB1_CORE_M_CF1_R03,M,CF1,CSG-NI Phase6H provisional,CSG-NI,5,0.6427925443550797,0.9686793671294801
CB1_CORE_M_CF1_R03,M,CF1,DABC-RIACRSP,DABC,5,2.2840437917727723,2.357119793348401
CB1_CORE_M_CF1_R03,M,CF1,GA,GA,5,3.221819743820839,4.585082337746206
CB1_CORE_M_CF1_R03,M,CF1,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,1.8390173619329149,2.1310946076848563
CB1_CORE_M_CF1_R04,M,CF1,Adapted DCGA,Adapted DCGA,5,1.9739162708512772,2.871870397643594
CB1_CORE_M_CF1_R04,M,CF1,CSG-NI Phase6H provisional,CSG-NI,5,1.151612210808103,1.2150220913107512
CB1_CORE_M_CF1_R04,M,CF1,DABC-RIACRSP,DABC,5,3.6636699647281454,5.265095729013254
CB1_CORE_M_CF1_R04,M,CF1,GA,GA,5,2.620922972197065,3.9764359351988228
CB1_CORE_M_CF1_R04,M,CF1,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,4.758371814948252,4.675994108983799
CB1_CORE_M_CF1_R05,M,CF1,Adapted DCGA,Adapted DCGA,5,0.7663589430631387,1.2716354645001768
CB1_CORE_M_CF1_R05,M,CF1,CSG-NI Phase6H provisional,CSG-NI,5,0.5913868719677878,1.0950194277640408
CB1_CORE_M_CF1_R05,M,CF1,DABC-RIACRSP,DABC,5,0.7805549689888897,1.1656658424584956
CB1_CORE_M_CF1_R05,M,CF1,GA,GA,5,2.1078219427534077,1.6248675379724484
CB1_CORE_M_CF1_R05,M,CF1,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,3.094300866604633,2.401978099611445
CB1_CORE_M_CF2_R01,M,CF2,Adapted DCGA,Adapted DCGA,5,1.6382992956362274,1.872536136662287
CB1_CORE_M_CF2_R01,M,CF2,CSG-NI Phase6H provisional,CSG-NI,5,1.3973289002412967,0.9855453350854138
CB1_CORE_M_CF2_R01,M,CF2,DABC-RIACRSP,DABC,5,3.5470961854918515,4.23784494086728
CB1_CORE_M_CF2_R01,M,CF2,GA,GA,5,4.054840079114278,4.3363994743758205
CB1_CORE_M_CF2_R01,M,CF2,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,3.8228348084106507,7.4572930354796325
CB1_CORE_M_CF2_R02,M,CF2,Adapted DCGA,Adapted DCGA,5,1.3542961199105532,1.8046292663789743
CB1_CORE_M_CF2_R02,M,CF2,CSG-NI Phase6H provisional,CSG-NI,5,3.136817917023782,1.9615535504119264
CB1_CORE_M_CF2_R02,M,CF2,DABC-RIACRSP,DABC,5,4.168806652493961,6.433895645351118
CB1_CORE_M_CF2_R02,M,CF2,GA,GA,5,4.851616316431398,4.197724597881523
CB1_CORE_M_CF2_R02,M,CF2,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,2.5923100914380424,4.354648881914475
