method,display_method,run_count,median_runtime_budget_fraction,mean_runtime_budget_fraction,q25_runtime_budget_fraction,q75_runtime_budget_fraction,median_decoder_evaluations,mean_decoder_evaluations,median_time_to_best_budget_fraction,median_iterations,termination_note
GA,GA,225,1.0000403392786823,1.000045280744986,1.0000223595265503,1.0000654696820828,11450.0,12598.035555555556,0.932387892775936,228.0,common maximum wall-clock budget
Adapted DCGA,DCGA,225,1.0007092031163094,1.0565572116451034,1.0002174698142439,1.1229172371696103,3994.0,4263.475555555556,0.853614208847931,2.0,common maximum wall-clock budget
DABC-RIACRSP,DABC,225,1.0000173684425417,1.000022567051642,1.000009274380959,1.0000290820786624,21863.0,23884.14222222222,0.9398448592370474,15.0,common maximum wall-clock budget
LG_HGA-RIACRSP-v2-N4M,LG_HGA,225,0.13243021706047925,0.13686603245040174,0.10207457513509628,0.1702739391082759,4040.0,4073.3333333333335,0.11450087885657653,100.0,original-paper MAXGEN=100 cap or common maximum wall-clock budget
CSG-NI Phase6H provisional,CSG-NI,225,1.0000413240236412,1.0000952166116168,1.0000171923132208,1.0001575723499463,16186.0,16112.706666666667,0.2783681150867989,2024.0,common maximum wall-clock budget
