method,runs,mean_final_makespan,median_final_makespan,mean_rpd_percent,median_rpd_percent,bks_hits,feasibility_rate,mean_decoder_evaluations,mean_iterations,mean_runtime_seconds,mean_outer_runtime_seconds,median_best_found_seconds,average_instance_rank,instance_mean_best_hits
ALNS,54,2921.8333333333335,2943.5,4.341015941632121,4.100215254997586,4,1.0,40083.12962962963,5010.666666666667,240.00363447837245,240.00379839611372,103.61175802598882,2.5,3
LG_HGA_2O,54,2899.3333333333335,2914.5,3.321730642008797,2.460590075996418,8,1.0,37236.666666666664,929.5185185185185,240.0086727072765,240.01075543303807,126.32358500399278,2.4444444444444446,9
P1_CSG_ADAPTIVE_PORTFOLIO,54,2938.296296296296,2903.5,5.087621726653604,4.863104101205094,1,1.0,19755.962962962964,2469.962962962963,240.04219952611257,240.0774480829951,99.49153270399256,3.3333333333333335,2
PHASE6H,54,2924.962962962963,2889.0,5.036955922790999,5.240983201659655,4,1.0,16652.75925925926,2082.1296296296296,240.02084445448256,240.0248758192961,80.50299659698794,3.3333333333333335,3
PHASE6N_DETERMINISTIC_TOP1,54,2936.203703703704,2901.5,5.078410745462766,4.722361726135576,2,1.0,19979.98148148148,2498.0555555555557,240.0504185018713,240.05057158303356,95.44765913300216,3.388888888888889,1
