budget_fraction,runs,mean_destroy_weight_spread,median_destroy_weight_spread,mean_repair_weight_spread,median_repair_weight_spread,destroy_all_floor_fraction,repair_all_floor_fraction
0.0,54,0.1592592592592592,0.17999999999999994,0.1592592592592592,0.17999999999999994,0.0,0.0
0.1,54,0.3471389061649814,0.3122950491896036,0.3247179023318739,0.3477905851269655,0.0,0.0
0.2,54,0.1690484836884466,0.08365647153328945,0.1478644143766293,0.04934021086850954,0.0,0.0
0.3,54,0.05277741890955488,0.002601747858962722,0.044238120133839244,0.0007947313274263915,0.0,0.0
0.4,54,0.05291038949047538,0.00021894015606599426,0.04394344894816114,2.2716440313999553e-05,0.0,0.18518518518518517
0.5,54,0.006325595152016616,3.1105915463125466e-06,0.0031954400464701866,1.5352318682992916e-07,0.14814814814814814,0.35185185185185186
0.6,54,0.010885181848299204,9.037381241278064e-07,0.006866198247347953,8.307385756384233e-08,0.35185185185185186,0.4444444444444444
0.7,54,0.008598235769708286,6.087487250394652e-10,0.0049323822618135855,2.6004406961099846e-12,0.5,0.6296296296296297
0.8,54,0.010022413349980977,1.796665385911389e-10,0.006442953820303393,9.46465128492946e-15,0.5185185185185185,0.5925925925925926
0.9,54,0.012416875038959182,1.6961843457563575e-09,0.005087777079729917,2.4047638880198008e-12,0.5,0.5740740740740741
1.0,54,0.003956224161688015,9.668724154643371e-12,0.00184774438395396,1.9359513991901167e-15,0.5740740740740741,0.6851851851851852
