instance_id,scale,CF_level,method,mean_final_makespan,median_final_makespan,best_final_makespan,mean_rpd_percent,mean_decoder_evaluations
CB1_CAUR_M_CF1_RI2_TI2_R12_C02,M,CF1,PHASE6N_DETERMINISTIC_TOP1,2843.0,2874.0,2776.0,2.5613275613275612,21561.0
CB1_CAUR_M_CF2_RI2_TI2_R12,M,CF2,ALNS,2929.6666666666665,2965.0,2854.0,5.307931943445962,36634.333333333336
CB1_CAUR_M_CF2_RI2_TI2_R12,M,CF2,LG_HGA_2O,2870.6666666666665,2909.0,2782.0,3.187155523604121,34502.0
CB1_CAUR_M_CF2_RI2_TI2_R12,M,CF2,P1_CSG_ADAPTIVE_PORTFOLIO,2918.0,2947.0,2856.0,4.888569374550683,21108.0
CB1_CAUR_M_CF2_RI2_TI2_R12,M,CF2,PHASE6H,2921.0,2898.0,2877.0,4.996405463695183,17927.333333333332
CB1_CAUR_M_CF2_RI2_TI2_R12,M,CF2,PHASE6N_DETERMINISTIC_TOP1,2946.0,2920.0,2890.0,5.895039539899353,21375.333333333332
CB1_CAUR_M_CF2_RI2_TI2_R12_C02,M,CF2,ALNS,3729.0,3726.0,3687.0,1.9409513395297975,36065.666666666664
CB1_CAUR_M_CF2_RI2_TI2_R12_C02,M,CF2,LG_HGA_2O,3822.6666666666665,3834.0,3746.0,4.5015491160925825,34948.0
CB1_CAUR_M_CF2_RI2_TI2_R12_C02,M,CF2,P1_CSG_ADAPTIVE_PORTFOLIO,3742.3333333333335,3728.0,3706.0,2.305449243666849,21216.333333333332
CB1_CAUR_M_CF2_RI2_TI2_R12_C02,M,CF2,PHASE6H,3683.3333333333335,3685.0,3658.0,0.6925460178603973,17735.666666666668
CB1_CAUR_M_CF2_RI2_TI2_R12_C02,M,CF2,PHASE6N_DETERMINISTIC_TOP1,3789.3333333333335,3760.0,3719.0,3.590304355749954,21473.666666666668
CB1_CAUR_M_CF3_RI2_TI2_R12,M,CF3,ALNS,2841.6666666666665,2858.0,2809.0,7.6796766451938865,37721.666666666664
CB1_CAUR_M_CF3_RI2_TI2_R12,M,CF3,LG_HGA_2O,2695.0,2647.0,2639.0,2.122015915119363,34874.0
CB1_CAUR_M_CF3_RI2_TI2_R12,M,CF3,P1_CSG_ADAPTIVE_PORTFOLIO,2848.0,2857.0,2829.0,7.919666540356196,21295.666666666668
CB1_CAUR_M_CF3_RI2_TI2_R12,M,CF3,PHASE6H,2831.6666666666665,2822.0,2815.0,7.300745231779715,17623.333333333332
