method,instance_id,scale,CF_level,cell_replicate,seed,budget_seconds,result_source,final_makespan,runtime_seconds,outer_runtime_seconds,best_found_seconds,decoder_evaluations,iterations,neural_decisions,fallback_count,feasible,result_path
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,L,CF3,C02,746101,358.0,NEW_RUN,3469.0,358.00878429200384,358.00932386200293,0.5700093210034538,19680,2460,492,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_L_CF3_RI2_TI2_R12_C02/seed_746101.json
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,L,CF3,C02,746102,358.0,NEW_RUN,3469.0,358.1318927470129,358.1320850669872,0.5596630540094338,19882,2486,498,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_L_CF3_RI2_TI2_R12_C02/seed_746102.json
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,L,CF3,C02,746103,358.0,NEW_RUN,3469.0,358.18435004199273,358.18454167598975,0.6042258550005499,20242,2531,507,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_L_CF3_RI2_TI2_R12_C02/seed_746103.json
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_M_CF1_RI2_TI2_R12,M,CF1,C01,746101,228.0,NEW_RUN,2884.0,228.0009984950011,228.0011035189964,191.43407559298794,21194,2650,530,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_M_CF1_RI2_TI2_R12/seed_746101.json
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_M_CF1_RI2_TI2_R12,M,CF1,C01,746102,228.0,NEW_RUN,2808.0,228.0009824669978,228.0011491549958,44.66616501400131,21109,2639,528,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_M_CF1_RI2_TI2_R12/seed_746102.json
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_M_CF1_RI2_TI2_R12,M,CF1,C01,746103,228.0,NEW_RUN,2923.0,228.00154766702326,228.00179085801938,214.85332820902113,21337,2667,534,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_M_CF1_RI2_TI2_R12/seed_746103.json
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_M_CF1_RI2_TI2_R12_C02,M,CF1,C02,746101,234.0,NEW_RUN,2849.0,234.083891287999,234.08400923898444,200.64296461397316,21202,2651,531,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_M_CF1_RI2_TI2_R12_C02/seed_746101.json
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_M_CF1_RI2_TI2_R12_C02,M,CF1,C02,746102,234.0,NEW_RUN,2827.0,234.005381992989,234.00554363199626,85.72717828900204,21053,2632,527,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_M_CF1_RI2_TI2_R12_C02/seed_746102.json
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_M_CF1_RI2_TI2_R12_C02,M,CF1,C02,746103,234.0,NEW_RUN,2864.0,234.03034917500918,234.03045373002533,121.395902638993,21162,2646,530,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_M_CF1_RI2_TI2_R12_C02/seed_746103.json
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_M_CF2_RI2_TI2_R12,M,CF2,C01,746101,244.0,NEW_RUN,2856.0,244.17674205699586,244.17685940497904,220.4401098480157,21202,2651,531,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_M_CF2_RI2_TI2_R12/seed_746101.json
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_M_CF2_RI2_TI2_R12,M,CF2,C01,746102,244.0,NEW_RUN,2951.0,244.00018627999816,244.0004507099802,102.61959679299616,21113,2639,528,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_M_CF2_RI2_TI2_R12/seed_746102.json
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_M_CF2_RI2_TI2_R12,M,CF2,C01,746103,244.0,NEW_RUN,2947.0,244.00401271501323,244.00432678801008,230.2915926669957,21009,2626,526,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_M_CF2_RI2_TI2_R12/seed_746103.json
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,M,CF2,C02,746101,254.0,NEW_RUN,3793.0,254.0691925790161,254.06930812099017,64.33053823301452,21162,2646,530,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_M_CF2_RI2_TI2_R12_C02/seed_746101.json
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,M,CF2,C02,746102,254.0,NEW_RUN,3728.0,254.00419915898237,254.0043823979795,154.68277102799038,21245,2656,532,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_M_CF2_RI2_TI2_R12_C02/seed_746102.json
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_M_CF2_RI2_TI2_R12_C02,M,CF2,C02,746103,254.0,NEW_RUN,3706.0,254.09293075700407,254.09304954498657,234.480578504008,21242,2656,532,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_M_CF2_RI2_TI2_R12_C02/seed_746103.json
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_M_CF3_RI2_TI2_R12,M,CF3,C01,746101,236.0,NEW_RUN,2857.0,236.00211274498724,236.00224865198834,0.509827811998548,21210,2652,531,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_M_CF3_RI2_TI2_R12/seed_746101.json
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_M_CF3_RI2_TI2_R12,M,CF3,C01,746102,236.0,NEW_RUN,2829.0,236.00149372400483,236.00169011598337,220.50580775600974,21310,2664,533,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_M_CF3_RI2_TI2_R12/seed_746102.json
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_M_CF3_RI2_TI2_R12,M,CF3,C01,746103,236.0,NEW_RUN,2858.0,236.00211006999598,236.00237799898605,0.197142252989579,21367,2671,535,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_M_CF3_RI2_TI2_R12/seed_746103.json
P1_CSG_ADAPTIVE_PORTFOLIO,CB1_CAUR_M_CF3_RI2_TI2_R12_C02,M,CF3,C02,746101,232.0,NEW_RUN,3283.0,232.14287750600488,232.14302044798387,0.16928567297873087,21082,2636,528,0,True,outputs/phase6p_adaptive_portfolio_v1/development/runs/P1_CSG_ADAPTIVE_PORTFOLIO/CB1_CAUR_M_CF3_RI2_TI2_R12_C02/seed_746101.json
