instance_id,method,makespan,runtime_seconds,inference_seconds,feasible,family,training_seed,gap_to_bc_percent
BR_Mk08,H1,3812.0,0.47452207101741806,0.47452207101741806,True,Brandimarte,NA,2.611036339165545
BR_Mk08,H2,3869.0,0.48673282700474374,0.48673282700474374,True,Brandimarte,NA,4.14535666218035
BR_Mk08,PHASE5B_DOWNSTREAM_PPO,3590.0,19.581600985024124,14.434827069024323,True,Brandimarte,520101,-3.3647375504710633
BR_Mk08,PHASE5B_DOWNSTREAM_PPO,3608.0,19.4016996010032,14.280103848490398,True,Brandimarte,520102,-2.88021534320323
BR_Mk08,PHASE5B_DOWNSTREAM_PPO,3788.0,19.156285250006476,14.099257802794455,True,Brandimarte,520103,1.965006729475101
BR_Mk09,BC_GREEDY,2844.0,14.030829120019916,6.140266965026967,True,Brandimarte,BC,0.0
BR_Mk09,H1,2927.0,0.921080691012321,0.921080691012321,True,Brandimarte,NA,2.9184247538677917
BR_Mk09,H2,3314.0,0.7357439269835595,0.7357439269835595,True,Brandimarte,NA,16.526019690576653
BR_Mk09,PHASE5B_DOWNSTREAM_PPO,2715.0,25.21576132197515,17.27444727360853,True,Brandimarte,520101,-4.5358649789029535
BR_Mk09,PHASE5B_DOWNSTREAM_PPO,2719.0,25.046455172996502,17.09450580328121,True,Brandimarte,520102,-4.39521800281294
BR_Mk09,PHASE5B_DOWNSTREAM_PPO,2831.0,25.046555897017242,17.1908545216138,True,Brandimarte,520103,-0.4571026722925457
BR_Mk10,BC_GREEDY,3361.0,17.06978355901083,6.484044754382921,True,Brandimarte,BC,0.0
BR_Mk10,H1,3192.0,1.1351371170021594,1.1351371170021594,True,Brandimarte,NA,-5.028265397203214
BR_Mk10,H2,3638.0,1.0832211860106327,1.0832211860106327,True,Brandimarte,NA,8.241594763463254
BR_Mk10,PHASE5B_DOWNSTREAM_PPO,3192.0,27.92088197299745,18.024022476398386,True,Brandimarte,520101,-5.028265397203214
